iter	MultiClass
0	1.074877728
1	1.044021945
2	1.021802926
3	0.996443812
4	0.9679102561
5	0.9458309786
6	0.9252291741
7	0.9034821872
8	0.8820889717
9	0.8635898234
10	0.8472242183
11	0.8337447781
12	0.8186487662
13	0.8042380581
14	0.7837663113
15	0.7679341281
16	0.7515341559
17	0.7389941003
18	0.7255997797
19	0.7127063189
20	0.7025241922
21	0.6859225039
22	0.6760969389
23	0.6687538937
24	0.6607014669
25	0.652438268
26	0.6398012856
27	0.6324510111
28	0.6221663066
29	0.6127572588
30	0.6021638296
31	0.5952528919
32	0.5854631295
33	0.5774950545
34	0.5701719796
35	0.5626091797
36	0.5570180413
37	0.5485794707
38	0.5430480042
39	0.5344438149
40	0.5300819851
41	0.5248531679
42	0.5156342174
43	0.5082174091
44	0.501824906
45	0.4958540864
46	0.4889968065
47	0.4828349436
48	0.4785621973
49	0.4738205545
50	0.4681055861
51	0.462218636
52	0.4554562351
53	0.4490113996
54	0.4430919543
55	0.4365735383
56	0.4311060383
57	0.4263763276
58	0.4208378294
59	0.4157143909
60	0.4104071901
61	0.4061588118
62	0.4020110888
63	0.3965995563
64	0.3917256758
65	0.3879683559
66	0.3841297863
67	0.3797290654
68	0.3743187522
69	0.3682183323
70	0.3643561532
71	0.3611902485
72	0.3563210651
73	0.3534843899
74	0.3487311246
75	0.3454163897
76	0.3429452376
77	0.3387291062
78	0.3344677791
79	0.3292120607
80	0.326335998
81	0.3218408205
82	0.3189885461
83	0.3164342192
84	0.3132726214
85	0.3099374935
86	0.3063320717
87	0.3026130681
88	0.299241699
89	0.2948381691
90	0.2921256455
91	0.2892768238
92	0.2864540598
93	0.2837813253
94	0.2817837385
95	0.2789334177
96	0.2758063189
97	0.2730987915
98	0.2709777352
99	0.2669630653
100	0.2634063169
101	0.2608076653
102	0.2572706667
103	0.2549433559
104	0.2523453477
105	0.2501693779
106	0.2471492653
107	0.2432562584
108	0.238451954
109	0.236204448
110	0.2335155006
111	0.2292368628
