iter	Passed	Remaining
0	148	16434
1	152	8378
2	156	5683
3	160	4326
4	163	3504
5	167	2960
6	169	2548
7	172	2241
8	174	1999
9	176	1802
10	178	1639
11	180	1502
12	182	1387
13	183	1285
14	185	1196
15	186	1119
16	188	1051
17	189	991
18	191	935
19	192	886
20	194	841
21	195	800
22	197	762
23	198	727
24	199	695
25	201	666
26	202	638
27	204	612
28	205	587
29	206	565
30	208	543
31	209	524
32	211	506
33	212	488
34	214	471
35	215	455
36	217	440
37	218	425
38	220	411
39	221	398
40	222	386
41	224	373
42	225	362
43	227	351
44	228	340
45	230	330
46	231	320
47	233	310
48	234	301
49	236	292
50	237	284
51	238	275
52	240	267
53	242	260
54	243	252
55	244	244
56	246	237
57	247	230
58	248	223
59	250	216
60	251	210
61	252	203
62	254	197
63	255	191
64	257	186
65	258	180
66	260	174
67	261	169
68	263	163
69	264	158
70	265	153
71	266	148
72	268	143
73	269	138
74	271	133
75	272	129
76	274	124
77	275	120
78	277	115
79	278	111
80	280	107
81	281	102
82	282	98
83	284	94
84	285	90
85	287	86
86	288	82
87	290	79
88	291	75
89	292	71
90	294	67
91	295	64
92	296	60
93	298	57
94	299	53
95	301	50
96	302	46
97	304	43
98	306	40
99	307	36
100	309	33
101	310	30
102	312	27
103	312	24
104	314	20
105	315	17
106	316	14
107	318	11
108	320	8
109	321	5
110	323	2
111	324	0
