feature,feature_kr,importance,importance_인하,importance_동결,importance_인상
wti_oil_yoy,WTI 유가 YoY,0.19341947,0.22838847,0.009265588,0.34260437
kr_usd_exchange_yoy,원/달러 환율 YoY,0.12565456,0.14079012,0.22091673,0.015256822
kr_m2_change,한국 M2 통화량 변화율,0.10411554,0.18739678,0.098392285,0.026557537
kr_usd_exchange_mom6,원/달러 환율 6개월모멘텀,0.0999836,0.028145134,0.20708631,0.06471937
vix_lag3,VIX 변동성 지수 3개월전,0.042545084,0.083200134,0.03320245,0.011232675
wti_oil_ma6,WTI 유가 6개월평균,0.035998803,0.0076353047,0.023933984,0.07642712
us_fed_rate_change_lag1,us_fed_rate_change_lag1,0.02578056,0.04872601,0.02406353,0.0045521404
kr_cpi_change_lag2,kr_cpi_change_lag2,0.019168455,0.015969468,0.00955231,0.031983588
kr_unemployment_lag1,한국 실업률 1개월전,0.017312696,0.0043311184,0.008524168,0.039082803
kr_unemployment_lag2,한국 실업률 2개월전,0.011138875,0.00045839386,0.019656809,0.013301424
