class,feature_kr,feature_value,shap_value
인하,WTI 유가 YoY,-22.3069,0.32492474
인하,WTI 유가 YoY,-14.5418,0.16487373
인하,WTI 유가 YoY,-16.3936,0.16154855
인하,WTI 유가 YoY,-15.4147,0.2518626
인하,WTI 유가 YoY,-8.9408,0.20473048
인하,WTI 유가 YoY,-15.4188,0.19795492
인하,WTI 유가 YoY,-14.1387,0.1997741
인하,WTI 유가 YoY,-17.3274,0.1805016
인하,WTI 유가 YoY,-20.7288,0.33538234
인하,WTI 유가 YoY,-9.8141,0.19760533
인하,WTI 유가 YoY,33.9097,-0.28751147
인하,WTI 유가 YoY,57.8848,-0.3414652
인하,원/달러 환율 YoY,1.9579,-0.16815399
인하,원/달러 환율 YoY,-1.042,-0.1296109
인하,원/달러 환율 YoY,-0.199,-0.1263405
인하,원/달러 환율 YoY,2.7793,-0.16518718
인하,원/달러 환율 YoY,4.675,-0.10345652
인하,원/달러 환율 YoY,4.4562,-0.124720804
인하,원/달러 환율 YoY,4.6494,-0.118152454
인하,원/달러 환율 YoY,1.7611,-0.14338699
인하,원/달러 환율 YoY,0.2279,-0.19126782
인하,원/달러 환율 YoY,0.173,-0.15695766
인하,원/달러 환율 YoY,2.2059,-0.07450695
인하,원/달러 환율 YoY,3.0574,-0.08804478
인하,한국 M2 통화량 변화율,0.65,0.037066378
인하,한국 M2 통화량 변화율,0.4989,-0.22137743
인하,한국 M2 통화량 변화율,0.4705,-0.22444943
인하,한국 M2 통화량 변화율,1.1137,0.09386057
인하,한국 M2 통화량 변화율,0.5262,-0.2831644
인하,한국 M2 통화량 변화율,-0.046,-0.28086665
인하,한국 M2 통화량 변화율,0.1074,-0.26509723
인하,한국 M2 통화량 변화율,0.4679,-0.24245687
인하,한국 M2 통화량 변화율,0.7875,0.061046712
인하,한국 M2 통화량 변화율,0.0041,-0.25059223
인하,한국 M2 통화량 변화율,0.4495,-0.12056058
인하,한국 M2 통화량 변화율,8.6304,0.05080918
인하,원/달러 환율 6개월모멘텀,-3.58,-0.009990614
인하,원/달러 환율 6개월모멘텀,-75.32,-0.008414041
인하,원/달러 환율 6개월모멘텀,-72.89,-0.008414041
인하,원/달러 환율 6개월모멘텀,-55.79,-0.012997366
인하,원/달러 환율 6개월모멘텀,-65.44,-0.008232891
인하,원/달러 환율 6개월모멘텀,-16.7,-0.010631796
인하,원/달러 환율 6개월모멘텀,68.44,0.0050077336
인하,원/달러 환율 6개월모멘텀,100.68,0.017557437
인하,원/달러 환율 6개월모멘텀,76.2,0.02094911
인하,원/달러 환율 6개월모멘텀,58.29,-0.0032357436
인하,원/달러 환율 6개월모멘텀,97.61,0.009140184
인하,원/달러 환율 6개월모멘텀,60.72,-0.002561847
인하,VIX 변동성 지수 2개월전,21.84,-0.20084167
인하,VIX 변동성 지수 2개월전,31.97,-0.13950056
인하,VIX 변동성 지수 2개월전,20.46,-0.14127731
인하,VIX 변동성 지수 2개월전,18.4,-0.070592046
인하,VIX 변동성 지수 2개월전,16.38,0.05938262
인하,VIX 변동성 지수 2개월전,15.75,0.055471737
인하,VIX 변동성 지수 2개월전,15.79,0.054047
인하,VIX 변동성 지수 2개월전,18.09,-0.05879121
인하,VIX 변동성 지수 2개월전,19.77,-0.20859936
인하,VIX 변동성 지수 2개월전,15.55,0.045023065
인하,VIX 변동성 지수 2개월전,16.18,0.02698901
인하,VIX 변동성 지수 2개월전,19.21,-0.045154344
인하,WTI 유가 6개월평균,68.5567,0.018333048
인하,WTI 유가 6개월평균,68.2317,0.012165965
인하,WTI 유가 6개월평균,67.0067,0.011969309
인하,WTI 유가 6개월평균,65.895,0.019118406
인하,WTI 유가 6개월평균,65.1817,0.0065040607
인하,WTI 유가 6개월평균,64.74,0.0057297475
인하,WTI 유가 6개월평균,64.3883,0.0057042954
인하,WTI 유가 6개월평균,62.6883,0.006291853
인하,WTI 유가 6개월평균,61.2967,0.010508899
인하,WTI 유가 6개월평균,61.2383,0.0054398896
인하,WTI 유가 6개월평균,65.8083,0.0034340525
인하,WTI 유가 6개월평균,72.38,0.0022488018
인하,us_fed_rate_change_lag1,0.0,0.008181727
인하,us_fed_rate_change_lag1,0.0,0.00037377904
인하,us_fed_rate_change_lag1,0.0,0.0023213518
인하,us_fed_rate_change_lag1,0.0,0.013686855
인하,us_fed_rate_change_lag1,0.0,0.0058424235
인하,us_fed_rate_change_lag1,-0.11,0.106514305
인하,us_fed_rate_change_lag1,-0.13,0.10954148
인하,us_fed_rate_change_lag1,-0.21,0.12104091
인하,us_fed_rate_change_lag1,-0.16,0.12519044
인하,us_fed_rate_change_lag1,-0.08,0.11905774
인하,us_fed_rate_change_lag1,0.0,-0.007823978
인하,us_fed_rate_change_lag1,0.0,-0.008588496
인하,kr_cpi_change_lag2,0.1809,0.006377871
인하,kr_cpi_change_lag2,0.0774,0.008849742
인하,kr_cpi_change_lag2,-0.0945,-0.0006433903
인하,kr_cpi_change_lag2,0.0344,0.017773496
인하,kr_cpi_change_lag2,0.1806,0.0028814352
인하,kr_cpi_change_lag2,-0.0601,0.0015656119
인하,kr_cpi_change_lag2,0.5238,-0.033111315
인하,kr_cpi_change_lag2,0.3075,-0.017645102
인하,kr_cpi_change_lag2,-0.1874,0.0034853083
인하,kr_cpi_change_lag2,0.3157,-0.016834604
인하,kr_cpi_change_lag2,0.3913,-0.019776203
인하,kr_cpi_change_lag2,0.3135,-0.01965979
인하,WTI 유가 6개월모멘텀,-7.78,-0.011402904
인하,WTI 유가 6개월모멘텀,-1.95,-0.014003478
인하,WTI 유가 6개월모멘텀,-7.35,-0.008175268
인하,WTI 유가 6개월모멘텀,-6.67,-0.008119917
인하,WTI 유가 6개월모멘텀,-4.28,-0.008359409
인하,WTI 유가 6개월모멘텀,-2.65,-0.011436526
인하,WTI 유가 6개월모멘텀,-2.11,-0.012122635
인하,WTI 유가 6개월모멘텀,-10.2,-0.011827018
인하,WTI 유가 6개월모멘텀,-8.35,-0.014148337
인하,WTI 유가 6개월모멘텀,-0.35,-0.026043385
인하,WTI 유가 6개월모멘텀,27.42,-0.036806468
인하,WTI 유가 6개월모멘텀,39.43,-0.053211175
인하,한국 실업률 1개월전,2.7,-0.0022505454
인하,한국 실업률 1개월전,2.7,-0.002079322
인하,한국 실업률 1개월전,2.7,-0.0018622878
인하,한국 실업률 1개월전,2.7,-0.0069558998
인하,한국 실업률 1개월전,2.8,-0.005802516
인하,한국 실업률 1개월전,2.7,-0.0067254
인하,한국 실업률 1개월전,2.7,-0.00624605
인하,한국 실업률 1개월전,2.8,-0.0022165966
인하,한국 실업률 1개월전,3.3,-0.00473869
인하,한국 실업률 1개월전,3.0,-0.0029962144
인하,한국 실업률 1개월전,2.9,-0.0050044945
