date,house_price_idx,house_price_idx_pct,kr_cpi,kr_unemployment,kr_base_rate,kr_mortgage_rate,kospi200,apt_trade_count,kr_m2
2014-01,84.6194320172233,,93.73,3.3,2.5,3.75,254.1794998168945,41973.0,1799846.9
2014-02,84.8844904858381,0.3132359344610647,93.98,3.5,2.5,3.71,252.47099838256835,58819.0,1814781.0
2014-03,85.1894326540993,0.3592436810492261,94.153,3.4,2.5,3.69,253.76190403529577,64598.0,1826090.4
2014-04,85.2917245251433,0.1200757744911129,94.214,3.6,2.5,3.69,259.60904802594865,64890.0,1830800.0
2014-05,85.3271187575895,0.0414978506335428,94.369,3.5,2.5,3.63,260.0731578626131,52072.0,1847499.7
2014-06,85.3635882303796,0.0427407761109499,94.248,3.5,2.5,3.58,259.8226302297492,49045.0,1858233.6
2014-07,85.4292561997855,0.0769273770786949,94.386,3.5,2.5,3.53,262.07695737092394,52832.0,1869730.2
2014-08,85.5551280424529,0.1473404408122602,94.551,3.5,2.25,3.5,265.50350189208984,54230.0,1891814.7
2014-09,85.870215629124,0.3682860325038062,94.49,3.5,2.25,3.5,260.82631321957234,62271.0,1901679.4
2014-10,86.1784239999311,0.3589234853424106,94.205,3.6,2.0,3.38,245.78428359258743,78826.0,1912477.6
2014-11,86.4079486864456,0.2663366024362235,94.015,3.6,2.0,3.3,249.8739990234375,64712.0,1935697.0
2014-12,86.5904882320381,0.2112531871979683,94.006,3.7,2.0,3.33,248.8871445428757,64682.0,1946213.6
2015-01,86.7674983784024,0.2044221599605267,94.643,3.6,2.0,3.34,246.6547619047619,57418.0,1949424.5
2015-02,87.0243454816116,0.2960176425613525,94.587,3.5,2.0,3.24,250.29000046673943,57885.0,1966543.7
2015-03,87.3964630617782,0.4276016993948417,94.596,3.5,1.75,2.97,255.464091907848,79312.0,1983317.2
2015-04,87.9600053450596,0.6448113156284574,94.625,3.6,1.75,2.81,264.22318267822266,83483.0,2006484.3
2015-05,88.3782985369996,0.4755493025484281,94.89,3.6,1.75,3.06,262.82111104329425,74385.0,2018864.2
2015-06,88.8441725187237,0.5271361741921998,94.909,3.8,1.5,3.01,252.88363786177203,72178.0,2028091.1
2015-07,89.1587413687711,0.3540680734925194,95.08,3.8,1.5,2.96,248.407827626104,74112.0,2046768.0
