feature,feature_kr,importance,importance_인하,importance_동결,importance_인상
wti_oil_yoy,WTI 유가 YoY,0.17173667,0.24786443,0.032693602,0.23465198
us_fed_rate_mom6,미국 연방기금금리 6개월모멘텀,0.08865961,0.1511848,0.039613962,0.07518004
kr_cpi_yoy,한국 소비자물가지수 YoY,0.050706405,0.039692342,0.017533539,0.09489333
kr_usd_exchange_yoy,원/달러 환율 YoY,0.046880286,0.04294955,0.08281982,0.014871476
kr_cpi_change_lag2,kr_cpi_change_lag2,0.0448601,0.042609617,0.06059663,0.03137405
wti_oil_ma6,WTI 유가 6개월평균,0.03455209,0.02010373,0.060691662,0.022860877
us_fed_rate_mom3,미국 연방기금금리 3개월모멘텀,0.032242853,0.07054235,0.021692405,0.004493805
wti_oil,WTI 유가,0.028235868,0.012393544,0.007211617,0.06510244
us_fed_rate_change,미국 연방기금금리 변화율,0.024229402,0.035762522,0.008621154,0.028304536
wti_oil_ma3,WTI 유가 3개월평균,0.016026063,0.011047567,0.018966697,0.01806392
