class,feature_kr,feature_value,shap_value
인하,WTI 유가 YoY,-22.3069,0.31683025
인하,WTI 유가 YoY,-14.5418,0.22715433
인하,WTI 유가 YoY,-16.3936,0.23485161
인하,WTI 유가 YoY,-15.4147,0.23970543
인하,WTI 유가 YoY,-8.9408,0.16360652
인하,WTI 유가 YoY,-15.4188,0.23467462
인하,WTI 유가 YoY,-14.1387,0.11828767
인하,WTI 유가 YoY,-17.3274,0.23057361
인하,WTI 유가 YoY,-20.7288,0.30822906
인하,WTI 유가 YoY,-9.8141,0.1612772
인하,WTI 유가 YoY,33.9097,-0.31842917
인하,WTI 유가 YoY,57.8848,-0.37773398
인하,WTI 유가 YoY,9.9589,-0.29088405
인하,미국 연방기금금리 6개월모멘텀,-0.31,0.2003484
인하,미국 연방기금금리 6개월모멘텀,-0.15,0.16880082
인하,미국 연방기금금리 6개월모멘텀,0.0,-0.07060352
인하,미국 연방기금금리 6개월모멘텀,0.0,-0.068015374
인하,미국 연방기금금리 6개월모멘텀,-0.11,0.16874847
인하,미국 연방기금금리 6개월모멘텀,-0.24,0.16767468
인하,미국 연방기금금리 6개월모멘텀,-0.45,0.18059807
인하,미국 연방기금금리 6개월모멘텀,-0.61,0.15540835
인하,미국 연방기금금리 6개월모멘텀,-0.69,0.13417922
인하,미국 연방기금금리 6개월모멘텀,-0.69,0.14798462
인하,미국 연방기금금리 6개월모멘텀,-0.58,0.12818684
인하,미국 연방기금금리 6개월모멘텀,-0.45,0.2151267
인하,미국 연방기금금리 6개월모멘텀,-2.0681,0.1597273
인하,한국 소비자물가지수 YoY,1.9018,-0.03285445
인하,한국 소비자물가지수 YoY,2.1697,-0.02691151
인하,한국 소비자물가지수 YoY,2.0941,-0.046827022
인하,한국 소비자물가지수 YoY,1.6675,-0.018083792
인하,한국 소비자물가지수 YoY,2.102,-0.018929392
인하,한국 소비자물가지수 YoY,2.3803,-0.07816301
인하,한국 소비자물가지수 YoY,2.4476,-0.05736075
인하,한국 소비자물가지수 YoY,2.3149,-0.069837734
인하,한국 소비자물가지수 YoY,2.005,-0.020265149
인하,한국 소비자물가지수 YoY,1.9986,-0.021664284
인하,한국 소비자물가지수 YoY,2.1584,-0.015603326
인하,한국 소비자물가지수 YoY,2.5692,-0.078977644
인하,한국 소비자물가지수 YoY,-10.9121,0.030522356
인하,원/달러 환율 YoY,1.9579,-0.029053072
인하,원/달러 환율 YoY,-1.042,-0.11833763
인하,원/달러 환율 YoY,-0.199,-0.03542277
인하,원/달러 환율 YoY,2.7793,-0.025355231
인하,원/달러 환율 YoY,4.675,-0.030154672
인하,원/달러 환율 YoY,4.4562,-0.028644076
인하,원/달러 환율 YoY,4.6494,-0.023706222
인하,원/달러 환율 YoY,1.7611,-0.039865457
인하,원/달러 환율 YoY,0.2279,-0.04899897
인하,원/달러 환율 YoY,0.173,-0.047130782
인하,원/달러 환율 YoY,2.2059,-0.022730483
인하,원/달러 환율 YoY,3.0574,-0.020120848
인하,원/달러 환율 YoY,-13.5549,-0.088823855
인하,kr_cpi_change_lag2,0.1809,0.02194527
인하,kr_cpi_change_lag2,0.0774,0.020588813
인하,kr_cpi_change_lag2,-0.0945,0.0074968436
인하,kr_cpi_change_lag2,0.0344,0.01688645
인하,kr_cpi_change_lag2,0.1806,0.021383831
인하,kr_cpi_change_lag2,-0.0601,0.01146178
인하,kr_cpi_change_lag2,0.5238,-0.23191746
인하,kr_cpi_change_lag2,0.3075,0.020898225
인하,kr_cpi_change_lag2,-0.1874,0.014396318
인하,kr_cpi_change_lag2,0.3157,0.022024399
인하,kr_cpi_change_lag2,0.3913,-0.15069002
인하,kr_cpi_change_lag2,0.3135,0.010029016
인하,kr_cpi_change_lag2,0.3378,0.0042065782
인하,WTI 유가 6개월평균,68.5567,0.04123219
인하,WTI 유가 6개월평균,68.2317,0.029870635
인하,WTI 유가 6개월평균,67.0067,0.017152296
인하,WTI 유가 6개월평균,65.895,0.016906518
인하,WTI 유가 6개월평균,65.1817,0.018024325
인하,WTI 유가 6개월평균,64.74,0.015544429
인하,WTI 유가 6개월평균,64.3883,0.011119939
인하,WTI 유가 6개월평균,62.6883,0.016197769
인하,WTI 유가 6개월평균,61.2967,0.01678661
인하,WTI 유가 6개월평균,61.2383,0.016872358
인하,WTI 유가 6개월평균,65.8083,0.011533435
인하,WTI 유가 6개월평균,72.38,0.021202499
인하,WTI 유가 6개월평균,73.7636,0.028905476
인하,미국 연방기금금리 3개월모멘텀,0.0,0.038945943
인하,미국 연방기금금리 3개월모멘텀,0.0,0.027481817
인하,미국 연방기금금리 3개월모멘텀,0.0,0.030790497
인하,미국 연방기금금리 3개월모멘텀,0.0,0.035546068
인하,미국 연방기금금리 3개월모멘텀,-0.11,0.1235179
인하,미국 연방기금금리 3개월모멘텀,-0.24,0.11626576
