feature,feature_kr,importance
kr_cpi,한국 소비자물가지수,0.0643921
sp500,S&P 500 지수,0.058110043
gold_change_rate_sma_20,금값 변화율 SMA(20일이동평균),0.054441433
gold_rsi_14_lag_3,금값 RSI(14일) 3일전,0.028675493
dxy_proxy,달러 인덱스,0.028503794
vix,VIX 변동성 지수,0.022800354
gold_change_rate_lag_3,국제 금 선물 가격 변화율 3일전,0.021310566
gold,국제 금 선물 가격,0.01518102
wti_oil,WTI 서부텍사스유 가격,0.014247338
gold_change_rate_ema_20_lag_3,금값 변화율 EMA(20일) 3일전,0.01393502
gold_change_rate_lag_1,국제 금 선물 가격 변화율 1일전,0.013800779
kr_usd_exchange,원/달러 환율,0.012857767
kospi200,코스피 200 지수,0.0090238815
gold_change_rate_std_5,금값 변동성(5일표준편차),0.0051364037
kr_usd_exchange_change_rate_lag_1,원/달러 환율 변화율 1일전,0.004249126
gold_change_rate_ema_20_lag_2,금값 변화율 EMA(20일) 2일전,0.004090682
gold_change_rate_std_20,금값 변동성(20일표준편차),0.0033547953
gold_change_rate_ema_5_lag_3,금값 변화율 EMA(5일) 3일전,0.0030454288
sp500_kospi200_spread_lag_3,S&P500-KOSPI200 스프레드 3일전,0.0026051216
sp500_kospi200_spread_lag_1,S&P500-KOSPI200 스프레드 1일전,0.0025102068
gold_change_rate_ema_20,금값 변화율 EMA(20일),0.00240864
gold_change_rate_ema_5_lag_2,금값 변화율 EMA(5일) 2일전,0.0023340827
vix_change_rate_lag_2,VIX 변동성 지수 변화율 2일전,0.002222993
kr_usd_exchange_change_rate_lag_2,원/달러 환율 변화율 2일전,0.0019682068
gold_rsi_14,금값 RSI(14일),0.0016519453
dxy_proxy_change_rate_lag_3,달러 인덱스 변화율 3일전,0.0014093079
vix_change_rate,VIX 변동성 지수 변화율,0.0012290725
kospi200_change_rate_lag_2,코스피 200 지수 변화율 2일전,0.0011202092
sp500_change_rate,S&P 500 지수 변화율,0.0010816751
kr_usd_exchange_change_rate_lag_3,원/달러 환율 변화율 3일전,0.0009949185
sp500_change_rate_lag_3,S&P 500 지수 변화율 3일전,0.0009665886
gold_change_rate_sma_5,금값 변화율 SMA(5일이동평균),0.00076810375
gold_change_rate_ema_20_lag_1,금값 변화율 EMA(20일) 1일전,0.00067133975
kospi200_change_rate,코스피 200 지수 변화율,0.0006664118
gold_rsi_14_lag_1,금값 RSI(14일) 1일전,0.00065224845
gold_macd_signal,금값 MACD 시그널,0.00060173677
kospi200_change_rate_lag_3,코스피 200 지수 변화율 3일전,0.00052559876
wti_oil_change_rate_lag_2,WTI 서부텍사스유 가격 변화율 2일전,0.0004549786
gold_macd_lag_1,금값 MACD 1일전,0.00044501192
gold_change_rate_ema_5_lag_1,금값 변화율 EMA(5일) 1일전,0.00027434377
gold_macd_signal_lag_3,금값 MACD 시그널 3일전,0.00027305438
sp500_kospi200_spread_lag_2,S&P500-KOSPI200 스프레드 2일전,0.00020861042
gold_macd,금값 MACD,0.0001833166
wti_oil_change_rate,WTI 서부텍사스유 가격 변화율,0.00018302302
wti_oil_change_rate_lag_3,WTI 서부텍사스유 가격 변화율 3일전,0.00018114925
kospi200_change_rate_lag_1,코스피 200 지수 변화율 1일전,0.0001785797
gold_macd_lag_3,금값 MACD 3일전,0.00012420412
gold_macd_signal_lag_2,금값 MACD 시그널 2일전,0.00010536643
vix_change_rate_lag_1,VIX 변동성 지수 변화율 1일전,8.808463e-05
wti_oil_change_rate_lag_1,WTI 서부텍사스유 가격 변화율 1일전,8.424564e-05
sp500_kospi200_spread,S&P500-KOSPI200 스프레드,7.9096855e-05
gold_macd_signal_lag_1,금값 MACD 시그널 1일전,6.349452e-05
sp500_change_rate_lag_2,S&P 500 지수 변화율 2일전,5.2313448e-05
kr_usd_exchange_change_rate,원/달러 환율 변화율,4.8100264e-05
gold_rsi_14_lag_2,금값 RSI(14일) 2일전,4.398726e-05
dxy_proxy_change_rate_lag_1,달러 인덱스 변화율 1일전,4.150992e-05
gold_macd_lag_2,금값 MACD 2일전,2.725936e-05
gold_change_rate_lag_2,국제 금 선물 가격 변화율 2일전,1.3598292e-05
gold_dxy_interaction_lag_1,금값-달러인덱스 상호작용 1일전,1.3168915e-05
gold_change_rate_ema_5,금값 변화율 EMA(5일),4.2058236e-06
vix_change_rate_lag_3,VIX 변동성 지수 변화율 3일전,1.4539914e-06
gold_change_rate,국제 금 선물 가격 변화율,8.9007153e-07
dxy_proxy_change_rate,달러 인덱스 변화율,0.0
gold_dxy_interaction,금값-달러인덱스 상호작용,0.0
dxy_proxy_change_rate_lag_2,달러 인덱스 변화율 2일전,0.0
sp500_change_rate_lag_1,S&P 500 지수 변화율 1일전,0.0
gold_dxy_interaction_lag_3,금값-달러인덱스 상호작용 3일전,0.0
gold_dxy_interaction_lag_2,금값-달러인덱스 상호작용 2일전,0.0
