date_ymd,actual,predict,proba_down,proba_up,top5_factors
2025-04-01,하락/보합,상승,0.4696775304529744,0.5303224695470252,"↑ VIX 변동성 지수: 값=21.7700, SHAP=+0.0465 | ↑ 달러 인덱스: 값=126.4300, SHAP=+0.0420 | ↑ S&P 500 지수: 값=5633.0700, SHAP=+0.0350 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0035, SHAP=-0.0327 | ↑ 한국 소비자물가지수: 값=116.3800, SHAP=+0.0239"
2025-04-02,하락/보합,상승,0.47265581553852326,0.5273441844614761,"↑ VIX 변동성 지수: 값=21.5100, SHAP=+0.0457 | ↑ 달러 인덱스: 값=126.3800, SHAP=+0.0424 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0037, SHAP=-0.0401 | ↑ S&P 500 지수: 값=5670.9700, SHAP=+0.0343 | ↑ 한국 소비자물가지수: 값=116.3800, SHAP=+0.0236"
2025-04-03,하락/보합,상승,0.4676380299316107,0.532361970068389,"↑ 달러 인덱스: 값=124.7300, SHAP=+0.0432 | ↑ VIX 변동성 지수: 값=30.0200, SHAP=+0.0367 | ↑ S&P 500 지수: 값=5396.5200, SHAP=+0.0362 | ↑ 한국 소비자물가지수: 값=116.3800, SHAP=+0.0313 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0030, SHAP=-0.0235"
2025-04-23,상승,하락/보합,0.50728037958289,0.49271961048300233,"↓ 금값 변동성(20일표준편차): 값=0.0195, SHAP=-0.0489 | ↑ 한국 소비자물가지수: 값=116.3800, SHAP=+0.0411 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0042, SHAP=-0.0377 | ↑ 달러 인덱스: 값=123.0300, SHAP=+0.0374 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0085, SHAP=-0.0299"
2025-04-25,하락/보합,상승,0.4852795787062496,0.5147204212937501,"↓ 금값 변동성(20일표준편차): 값=0.0201, SHAP=-0.0474 | ↑ 한국 소비자물가지수: 값=116.3800, SHAP=+0.0390 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0037, SHAP=-0.0386 | ↑ VIX 변동성 지수: 값=24.8400, SHAP=+0.0379 | ↑ 달러 인덱스: 값=122.8900, SHAP=+0.0377"
2025-04-28,하락/보합,상승,0.49946191273297513,0.5005380872670245,"↓ 금값 변동성(20일표준편차): 값=0.0202, SHAP=-0.0475 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0040, SHAP=-0.0399 | ↑ 달러 인덱스: 값=122.7200, SHAP=+0.0376 | ↑ VIX 변동성 지수: 값=25.1500, SHAP=+0.0366 | ↑ S&P 500 지수: 값=5528.7500, SHAP=+0.0289"
2025-04-29,하락/보합,상승,0.47315885789454076,0.5268411421054587,"↑ 한국 소비자물가지수: 값=116.3800, SHAP=+0.0483 | ↓ 금값 변동성(20일표준편차): 값=0.0202, SHAP=-0.0481 | ↑ VIX 변동성 지수: 값=24.1700, SHAP=+0.0392 | ↑ 달러 인덱스: 값=122.5900, SHAP=+0.0390 | ↑ S&P 500 지수: 값=5560.8300, SHAP=+0.0324"
2025-05-06,하락/보합,상승,0.48368307154715096,0.5163169284528486,"↓ 금값 변화율 SMA(20일이동평균): 값=0.0075, SHAP=-0.0426 | ↓ 금값 변동성(20일표준편차): 값=0.0204, SHAP=-0.0414 | ↑ 한국 소비자물가지수: 값=116.2700, SHAP=+0.0414 | ↑ 달러 인덱스: 값=122.0400, SHAP=+0.0399 | ↑ VIX 변동성 지수: 값=24.7600, SHAP=+0.0365"
2025-05-07,하락/보합,상승,0.4645283485005461,0.5354716514994533,"↑ 한국 소비자물가지수: 값=116.2700, SHAP=+0.0596 | ↑ S&P 500 지수: 값=5631.2800, SHAP=+0.0439 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0067, SHAP=-0.0428 | ↓ 금값 변동성(20일표준편차): 값=0.0207, SHAP=-0.0419 | ↑ 달러 인덱스: 값=122.1200, SHAP=+0.0392"
2025-05-08,하락/보합,상승,0.48914115186423207,0.5108588481357675,"↑ 한국 소비자물가지수: 값=116.2700, SHAP=+0.0470 | ↓ 금값 변동성(20일표준편차): 값=0.0211, SHAP=-0.0445 | ↑ 달러 인덱스: 값=122.7600, SHAP=+0.0376 | ↑ VIX 변동성 지수: 값=22.4800, SHAP=+0.0366 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0040, SHAP=-0.0343"
