feature_kr,feature_value,shap_value
S&P500-KOSPI200 스프레드,-0.005709,0.002419265
S&P500-KOSPI200 스프레드,0.010307,0.040291976
S&P500-KOSPI200 스프레드,-0.007718,0.015048764
S&P500-KOSPI200 스프레드,-2.7e-05,0.060861733
S&P500-KOSPI200 스프레드,-0.000846,0.061488368
S&P500-KOSPI200 스프레드,0.022745,0.06007909
S&P500-KOSPI200 스프레드,-0.011164,-0.16351654
S&P500-KOSPI200 스프레드,-0.007869,0.025447033
S&P500-KOSPI200 스프레드,0.005953,0.027570728
S&P500-KOSPI200 스프레드,0.004556,0.056106973
S&P500-KOSPI200 스프레드,-0.032594,-0.1332563
S&P500-KOSPI200 스프레드,0.0141,0.033575647
S&P500-KOSPI200 스프레드,0.000599,0.046090268
S&P500-KOSPI200 스프레드,0.000566,0.04591653
S&P500-KOSPI200 스프레드,-0.004362,0.012546824
S&P500-KOSPI200 스프레드,-0.01532,-0.13999762
S&P500-KOSPI200 스프레드,-0.002826,0.021051884
S&P500-KOSPI200 스프레드,-0.012812,-0.17499006
S&P500-KOSPI200 스프레드,0.017916,0.075867556
S&P500-KOSPI200 스프레드,0.005484,0.060475387
S&P500-KOSPI200 스프레드,0.004268,0.04780067
S&P500-KOSPI200 스프레드,0.018838,0.05329001
S&P500-KOSPI200 스프레드,0.003644,0.041336432
S&P500-KOSPI200 스프레드,0.014828,0.07637607
S&P500-KOSPI200 스프레드,0.000444,0.050762452
S&P500-KOSPI200 스프레드,0.006805,0.044490382
S&P500-KOSPI200 스프레드,0.006587,0.058591552
S&P500-KOSPI200 스프레드,0.020135,0.05673094
S&P500-KOSPI200 스프레드,0.005677,0.061874166
S&P500-KOSPI200 스프레드,-0.0056,0.015057553
S&P500-KOSPI200 스프레드,0.003275,0.03450862
S&P500-KOSPI200 스프레드,-0.004113,0.022695223
S&P500-KOSPI200 스프레드,0.005887,0.047156535
S&P500-KOSPI200 스프레드,0.00367,0.057949968
S&P500-KOSPI200 스프레드,-0.00188,0.020931251
S&P500-KOSPI200 스프레드,-0.003305,0.022922294
S&P500-KOSPI200 스프레드,0.000465,0.046471316
S&P500-KOSPI200 스프레드,-0.012431,-0.16270003
S&P500-KOSPI200 스프레드,-0.005856,0.022306534
S&P500-KOSPI200 스프레드,-0.021499,-0.14132507
S&P500-KOSPI200 스프레드,0.008924,0.04371677
S&P500-KOSPI200 스프레드,0.006177,0.06424827
S&P500-KOSPI200 스프레드,-0.004553,0.038647424
S&P500-KOSPI200 스프레드,-0.002382,0.021700531
S&P500-KOSPI200 스프레드,0.005742,0.06423167
S&P500-KOSPI200 스프레드,-0.000949,0.054454006
S&P500-KOSPI200 스프레드,-0.025251,-0.19217484
S&P500-KOSPI200 스프레드,0.022703,0.06548092
S&P500-KOSPI200 스프레드,0.010018,0.060102616
S&P500-KOSPI200 스프레드,-0.017075,-0.1690544
S&P500-KOSPI200 스프레드,-0.009943,-0.15702815
S&P500-KOSPI200 스프레드,0.00373,0.040655088
S&P500-KOSPI200 스프레드,0.016545,0.033193696
S&P500-KOSPI200 스프레드,-0.002168,0.007989725
S&P500-KOSPI200 스프레드,0.004831,0.043518692
S&P500-KOSPI200 스프레드,0.009358,0.04436601
S&P500-KOSPI200 스프레드,-0.013082,-0.19462949
S&P500-KOSPI200 스프레드,0.008648,0.038021203
S&P500-KOSPI200 스프레드,0.008008,0.043423086
S&P500-KOSPI200 스프레드,-0.016746,-0.11491769
S&P500-KOSPI200 스프레드,-0.000473,0.034878064
S&P500-KOSPI200 스프레드,0.008888,0.036426228
S&P500-KOSPI200 스프레드,0.008704,0.03744541
S&P500-KOSPI200 스프레드,-0.020233,-0.09964063
S&P500-KOSPI200 스프레드,0.008195,0.036614142
S&P500-KOSPI200 스프레드,0.003472,0.033483908
S&P500-KOSPI200 스프레드,-0.007269,0.019781832
S&P500-KOSPI200 스프레드,-0.012898,-0.21267271
S&P500-KOSPI200 스프레드,0.013398,0.048193526
S&P500-KOSPI200 스프레드,0.000976,0.05900128
S&P500-KOSPI200 스프레드,0.016665,0.05637591
S&P500-KOSPI200 스프레드,-0.007859,0.019540885
S&P500-KOSPI200 스프레드,-0.025223,-0.14334874
S&P500-KOSPI200 스프레드,0.001301,0.045669615
S&P500-KOSPI200 스프레드,0.002097,0.05135468
S&P500-KOSPI200 스프레드,-0.013239,-0.19925854
S&P500-KOSPI200 스프레드,0.010019,0.02324151
S&P500-KOSPI200 스프레드,0.003415,0.027948385
S&P500-KOSPI200 스프레드,-0.004854,0.016836427
S&P500-KOSPI200 스프레드,-0.012743,-0.120725006
S&P500-KOSPI200 스프레드,0.018682,0.039092474
S&P500-KOSPI200 스프레드,-0.028265,-0.11779081
S&P500-KOSPI200 스프레드,0.021855,0.0380371
S&P500-KOSPI200 스프레드,-0.002904,0.019091705
S&P500-KOSPI200 스프레드,0.007459,0.027201355
S&P500-KOSPI200 스프레드,-0.009457,-0.11817972
S&P500-KOSPI200 스프레드,0.006229,0.043369725
S&P500-KOSPI200 스프레드,-0.005191,0.024107393
S&P500-KOSPI200 스프레드,-0.006739,0.012301722
