테이블명,컬럼명,순서,기본값,"Null 여부","데이터 타입","데이터 타입(상세)","키(PK/FK 등)","컬럼 설명(코멘트)"
account,id,1,NULL,NO,varchar,varchar(50),PRI,
account,password,2,NULL,NO,varchar,varchar(255),,
account,role,3,user,YES,varchar,varchar(30),,
ai_todo,at_id,1,NULL,NO,int,int,PRI,
ai_todo,title,2,NULL,NO,varchar,varchar(50),,
ai_todo,memo,3,NULL,YES,varchar,varchar(80),,
ai_todo,category,4,NULL,YES,varchar,varchar(30),,
ai_todo,create_date,5,NULL,NO,timestamp,timestamp,,
ai_todo,execution_date,6,NULL,NO,datetime,datetime,,
ai_todo,is_checked,7,0,YES,tinyint,tinyint(1),,
ai_todo,u_id,8,NULL,NO,varchar,varchar(50),MUL,
ai_todo,c_id,9,NULL,YES,int,int,MUL,
branch,b_id,1,NULL,NO,int,int,PRI,
branch,name,2,NULL,NO,varchar,varchar(50),UNI,
branch,region,3,NULL,NO,varchar,varchar(50),,
branch,b_phone,4,NULL,NO,varchar,varchar(20),,
branch,address,5,NULL,NO,varchar,varchar(255),,
churn_level,level_id,1,NULL,NO,int,int,PRI,
churn_level,c_id,2,NULL,NO,int,int,MUL,
churn_level,grade,3,NULL,YES,varchar,varchar(5),,
churn_level,reason,4,NULL,NO,varchar,varchar(100),,
churn_level,created_date,5,CURRENT_TIMESTAMP,YES,datetime,datetime,,
consultation_memo,cm_id,1,NULL,NO,int,int,PRI,
consultation_memo,consult_date,2,NULL,NO,datetime,datetime,,
consultation_memo,memo,3,NULL,NO,text,text,,
consultation_memo,c_id,4,NULL,NO,int,int,MUL,
consultation_memo,u_id,5,NULL,NO,varchar,varchar(50),MUL,
consultation_report,cr_id,1,NULL,NO,int,int,PRI,
consultation_report,content,2,NULL,NO,text,text,,
consultation_report,cm_id,3,NULL,NO,int,int,MUL,
customer,c_id,1,NULL,NO,int,int,PRI,
customer,name,2,NULL,NO,varchar,varchar(50),,
customer,number,3,NULL,NO,varchar,varchar(20),,
customer,birthday,4,NULL,YES,date,date,,
customer,job,5,무직,YES,varchar,varchar(50),,
customer,gender,6,NULL,YES,char,char(1),,
customer,email,7,NULL,NO,varchar,varchar(50),,
